Community_Code,Shannon_Index,Avg_DBH
02C,0.2896414,8.169014085
02F,0.7073241,6.9125
09D,,
09H,0.731728,
09Q,1.513005,14.38181818
12A,2.085628,9.328358209
12B,2.37062,11.46531792
ABB,2.867392,18.59726962
ABP,2.52308,9.827794562
ABT,,5
ACA,2.549183,11.62496384
ALB,3.013789,22.38998836
ALP,1.80586,8.188235294
ALT,3.232496,28.18489661
APP,2.644082,17.20614828
ARB,2.905003,17.14685556
ASP,2.660206,11.7933213
AUB,3.383664,10.33546705
AYB,2.590054,23.83417085
BDO,2.79317,20.7329773
BED,2.730735,21.25731945
BEL,2.941865,30.03418803
BLM,2.540195,5.998837209
BLN,3.033424,18.65054368
BNF,3.264438,25.54263566
BNK,3.297768,33.73357228
BOW,2.929113,30.35108777
BRA,3.055723,26.64695446
BRD,3.074821,25.89193484
BRE,2.747436,33.08706209
BRI,3.098335,15.17887394
BRT,3.238908,27.80149254
BUR,2.685848,30.16408669
BVD,2.358863,7
BYV,2.441072,38.62395543
CAM,3.241773,31.48178808
CAN,3.204749,28.10371747
CAP,2.908129,37.10233222
CAR,3.209391,6.329787234
CAS,2.512404,19.83097166
CED,2.775967,22.29425649
CGR,3.282185,12.56142132
CHA,3.068701,14.04076655
CHK,3.233136,38.52737226
CHN,2.728824,21.48638132
CHR,3.065343,16.43353606
CHV,2.492056,10.85888889
CHW,2.930073,32.38094028
CIA,2.078412,21.88636364
CIT,2.875755,16.9731413
CLI,3.168247,32.61985019
CNS,3.201302,6.331772334
COA,2.794195,23.04941374
COL,2.936734,31.78246647
COR,2.922946,16.59610028
COU,2.919087,16.26175688
COV,3.227901,13.60686922
CPF,3.1623,9.279868297
CRA,3.613387,12.1248244
CRE,2.91548,32.13570392
CRM,3.021777,8.674378749
CSC,3.306684,6.175866496
CUR,3.041945,15.38216561
DAL,2.959162,25.08782743
DBC,2.542755,22.29090909
DDG,2.984562,19.0504228
DIA,2.553833,20.49833333
DIS,2.58869,15.21420883
DNC,2.58812,15.55015674
DNE,2.182267,17.21789883
DNW,3.108421,15.79294479
DOV,3.21787,22.1840708
DRG,2.385214,29.13955479
DRN,2.743801,29.05016287
EAG,2.781523,23.46621622
EAU,2.86994,30.56133464
EDG,2.929049,21.75102799
EFI,0.9184278,8.25
EFV,1.647608,33.20930233
EPK,3.37613,34.96822995
ERI,2.747605,16.34542102
ERL,2.810252,30.08133971
ESH,2.128433,14.52983294
EVE,3.259586,13.90108035
EVN,3.093665,10.84232047
EYA,3.274269,29.57532957
FAI,2.879049,32.39895166
FAL,2.723664,18.51735016
FHI,2.39254,24.78842676
FHT,3.170711,23.88552189
FLI,2.504498,14.39880952
FLN,3.219227,25.7524558
FRA,2.07887,23.7398374
FVI,2.448847,35.18992248
GAG,2.703359,15.20756376
GAW,2.86577,21.25967957
GBK,3.131607,29.80189175
GBP,0.1800221,25.86842105
GDL,3.282725,30.65019011
GLA,3.239953,26.72360953
GPI,1.098612,26.16666667
GPK,2.79807,20.84170519
GRE,2.054486,5.81754386
GRI,2.911197,21.08411215
GRV,2.523853,23.16019417
GTI,1.80821,32.35294118
HAM,3.02227,17.86721424
HAR,3.317481,16.44225115
HAW,2.911282,20.44988208
HAY,2.943386,31.19760479
HID,2.958127,17.96844089
HIF,2.577665,30.16549296
HIL,3.515377,27.42879067
HIW,2.546525,37.93532338
HOR,2.529294,13.12809917
HOU,3.46021,25.91009989
HPK,3.120643,35.38321537
HSD,2.501416,5.414545455
HSN,0.8695277,5
HUN,3.094803,22.39065054
ING,3.391089,24.71436359
KCA,2.774955,11.37726098
KEL,3.205718,32.82790698
KIL,3.264019,27.02204586
KIN,2.962481,32.16855754
LEG,2.703295,7.843842951
LIV,3.109009,6.207779886
LKB,2.966922,26.03834489
LKV,3.170368,31.48953975
LMR,3.060877,25.81367925
LPK,2.64262,19.44666002
MAC,2.641337,19.49944009
MAF,2.648915,20.09271523
MAH,2.916444,8.196515549
MAL,3.138852,24.99925429
MAN,3.149338,23.68367347
MCI,2.509765,26.94310511
MCK,3.157839,22.56158986
MCT,2.645652,16.39645228
MDH,1.974853,5.333333333
MEA,3.113974,23.7415115
MER,1.862423,18.17866667
MID,2.817566,31.38977224
MIS,3.25723,26.85603113
MLI,2.106023,29.75449102
MLR,2.828337,22.09977578
MNI,3.127723,33.42969364
MON,3.198632,21.94306152
MOP,3.107553,35.2081571
MOR,2.80001,18.22735243
MPK,2.899237,18.84381422
MPL,2.55045,32.68476357
MRL,3.111589,19.39693356
MRN,0.6300861,5
MRT,3.11987,16.7261852
NAW,1.688915,25.06145251
NEB,3.08416,12.08845655
NGM,3.211826,28.55714286
NHU,2.817649,28.9787234
NHV,2.935299,28.34987893
NOL,2.769108,9.253038194
NPK,1.052447,16.45
OAK,3.086893,30.617154
OGD,3.023249,29.09125683
OSH,1.249922,22.84210526
PAL,2.668974,29.1592775
PAN,3.158589,13.98552771
PAT,2.929408,20.44285714
PCK,2.401036,5.75
PEG,1.497427,26.33333333
PEN,3.109764,16.71707317
PIN,2.748118,21.74238982
PKD,3.102893,28.23661972
PKH,3.308284,29.38709677
PKL,2.508982,31.85312899
POI,2.49066,27.97163121
